"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.00","","","","2"
"1951-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.00","","","","2"
"1951-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.00","","","","2"
"1951-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.25","","","","2"
"1951-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.50","","","","2"
"1951-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.50","","","","2"
"1951-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.62","","","","2"
"1951-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.62","","","","2"
"1951-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.75","","","","2"
"1951-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.75","","","","2"
"1951-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.75","","","","2"
"1951-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.75","","","","2"
"1952-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.70","","","","2"
"1952-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.70","","","","2"
"1952-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.70","","","","2"
"1952-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.70","","","","2"
"1952-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.80","","","","2"
"1952-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.80","","","","2"
"1952-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.85","","","","2"
"1952-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.85","","","","2"
"1952-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.75","","","","2"
"1952-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.80","","","","2"
"1952-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.80","","","","2"
"1952-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.80","","","","2"
"1953-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.90","","","","2"
"1953-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.90","","","","2"
"1953-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.90","","","","2"
"1953-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.90","","","","2"
"1953-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.90","","","","2"
"1953-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.95","","","","2"
"1953-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.95","","","","2"
"1953-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","5.95","","","","2"
"1953-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.05","","","","2"
"1953-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.05","","","","2"
"1953-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.10","","","","2"
"1953-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.10","","","","2"
"1954-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.05","","","","2"
"1954-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.05","","","","2"
"1954-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.05","","","","2"
"1954-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1954-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1955-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
"1955-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.00","","","","2"
