"REF_DATE","GEO","DGUID","Characteristics","Net worth indicators (wealth)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","All households","Financial assets as a share of total assets","Percent","239","units ","0","v116905381","1.1.1","52.2","","","","1"
"2010","Canada","2016A000011124","All households","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v116905382","1.1.2","19.6","","","","1"
"2010","Canada","2016A000011124","All households","Other financial assets as a share of total assets","Percent","239","units ","0","v116905383","1.1.3","32.6","","","","1"
"2010","Canada","2016A000011124","All households","Non-financial assets as a share of total assets","Percent","239","units ","0","v116905384","1.1.4","47.8","","","","1"
"2010","Canada","2016A000011124","All households","Real estate as a share of total assets","Percent","239","units ","0","v116905385","1.1.5","41.3","","","","1"
"2010","Canada","2016A000011124","All households","Other non-financial assets as a share of total assets","Percent","239","units ","0","v116905386","1.1.6","6.6","","","","1"
"2010","Canada","2016A000011124","All households","Liabilities as a share of total assets","Percent","239","units ","0","v116905387","1.1.7","18.5","","","","1"
"2010","Canada","2016A000011124","All households","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v116905388","1.1.8","11.4","","","","1"
"2010","Canada","2016A000011124","All households","Other liabilities as a share of total assets","Percent","239","units ","0","v116905389","1.1.9","7.1","","","","1"
"2010","Canada","2016A000011124","All households","Liabilities as a share of net worth","Percent","239","units ","0","v116905390","1.1.10","22.7","","","","1"
"2010","Canada","2016A000011124","All households","Assets as a share of net worth","Percent","239","units ","0","v116905391","1.1.11","122.7","","","","1"
"2010","Canada","2016A000011124","All households","Financial assets as a share of net worth","Percent","239","units ","0","v116905392","1.1.12","64.0","","","","1"
"2010","Canada","2016A000011124","All households","Financial assets to non-financial assets ratio","Percent","239","units ","0","v116905393","1.1.13","109.1","","","","1"
"2010","Canada","2016A000011124","All households","Owner's equity as a share of real estate","Percent","239","units ","0","v116905394","1.1.14","72.3","","","","1"
"2010","Canada","2016A000011124","All households","Real estate as a share of disposable income","Percent","239","units ","0","v116905395","1.1.15","372.7","","","","1"
"2010","Canada","2016A000011124","All households","Net worth as a share of disposable income","Percent","239","units ","0","v116905396","1.1.16","735.6","","","","1"
"2010","Canada","2016A000011124","All households","Debt to disposable income ratio","Percent","239","units ","0","v116905397","1.1.17","167.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Financial assets as a share of total assets","Percent","239","units ","0","v1059497473","1.2.1","39.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497474","1.2.2","13.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497475","1.2.3","26.1","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497476","1.2.4","60.8","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Real estate as a share of total assets","Percent","239","units ","0","v1059497477","1.2.5","52.8","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497478","1.2.6","8.0","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Liabilities as a share of total assets","Percent","239","units ","0","v1059497479","1.2.7","34.7","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497480","1.2.8","22.6","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497481","1.2.9","12.1","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Liabilities as a share of net worth","Percent","239","units ","0","v1059497482","1.2.10","53.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Assets as a share of net worth","Percent","239","units ","0","v1059497483","1.2.11","153.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Financial assets as a share of net worth","Percent","239","units ","0","v1059497484","1.2.12","60.1","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497485","1.2.13","64.5","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497486","1.2.14","57.2","","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Real estate as a share of disposable income","Percent","239","units ","0","v1059497487","1.2.15","","..","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Net worth as a share of disposable income","Percent","239","units ","0","v1059497488","1.2.16","","..","","","1"
"2010","Canada","2016A000011124","Lowest income quintile","Debt to disposable income ratio","Percent","239","units ","0","v1059497489","1.2.17","","..","","","1"
"2010","Canada","2016A000011124","Second income quintile","Financial assets as a share of total assets","Percent","239","units ","0","v1059497490","1.3.1","42.8","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497491","1.3.2","18.3","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497492","1.3.3","24.5","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497493","1.3.4","57.2","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Real estate as a share of total assets","Percent","239","units ","0","v1059497494","1.3.5","48.0","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497495","1.3.6","9.3","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Liabilities as a share of total assets","Percent","239","units ","0","v1059497496","1.3.7","27.6","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497497","1.3.8","17.8","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497498","1.3.9","9.9","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Liabilities as a share of net worth","Percent","239","units ","0","v1059497499","1.3.10","38.2","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Assets as a share of net worth","Percent","239","units ","0","v1059497500","1.3.11","138.2","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Financial assets as a share of net worth","Percent","239","units ","0","v1059497501","1.3.12","59.1","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497502","1.3.13","74.8","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497503","1.3.14","62.9","","","","1"
"2010","Canada","2016A000011124","Second income quintile","Real estate as a share of disposable income","Percent","239","units ","0","v1059497504","1.3.15","","..","","","1"
"2010","Canada","2016A000011124","Second income quintile","Net worth as a share of disposable income","Percent","239","units ","0","v1059497505","1.3.16","","..","","","1"
"2010","Canada","2016A000011124","Second income quintile","Debt to disposable income ratio","Percent","239","units ","0","v1059497506","1.3.17","","..","","","1"
"2010","Canada","2016A000011124","Third income quintile","Financial assets as a share of total assets","Percent","239","units ","0","v1059497507","1.4.1","45.2","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497508","1.4.2","22.4","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497509","1.4.3","22.8","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497510","1.4.4","54.8","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Real estate as a share of total assets","Percent","239","units ","0","v1059497511","1.4.5","46.6","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497512","1.4.6","8.3","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Liabilities as a share of total assets","Percent","239","units ","0","v1059497513","1.4.7","25.1","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497514","1.4.8","15.4","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497515","1.4.9","9.7","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Liabilities as a share of net worth","Percent","239","units ","0","v1059497516","1.4.10","33.5","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Assets as a share of net worth","Percent","239","units ","0","v1059497517","1.4.11","133.5","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Financial assets as a share of net worth","Percent","239","units ","0","v1059497518","1.4.12","60.3","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497519","1.4.13","82.4","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497520","1.4.14","66.9","","","","1"
"2010","Canada","2016A000011124","Third income quintile","Real estate as a share of disposable income","Percent","239","units ","0","v1059497521","1.4.15","","..","","","1"
"2010","Canada","2016A000011124","Third income quintile","Net worth as a share of disposable income","Percent","239","units ","0","v1059497522","1.4.16","","..","","","1"
"2010","Canada","2016A000011124","Third income quintile","Debt to disposable income ratio","Percent","239","units ","0","v1059497523","1.4.17","","..","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Financial assets as a share of total assets","Percent","239","units ","0","v1059497524","1.5.1","51.1","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497525","1.5.2","26.0","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497526","1.5.3","25.1","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497527","1.5.4","48.9","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Real estate as a share of total assets","Percent","239","units ","0","v1059497528","1.5.5","41.9","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497529","1.5.6","7.0","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Liabilities as a share of total assets","Percent","239","units ","0","v1059497530","1.5.7","19.2","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497531","1.5.8","12.0","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497532","1.5.9","7.3","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Liabilities as a share of net worth","Percent","239","units ","0","v1059497533","1.5.10","23.8","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Assets as a share of net worth","Percent","239","units ","0","v1059497534","1.5.11","123.8","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Financial assets as a share of net worth","Percent","239","units ","0","v1059497535","1.5.12","63.2","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497536","1.5.13","104.4","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497537","1.5.14","71.4","","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Real estate as a share of disposable income","Percent","239","units ","0","v1059497538","1.5.15","","..","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Net worth as a share of disposable income","Percent","239","units ","0","v1059497539","1.5.16","","..","","","1"
"2010","Canada","2016A000011124","Fourth income quintile","Debt to disposable income ratio","Percent","239","units ","0","v1059497540","1.5.17","","..","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Financial assets as a share of total assets","Percent","239","units ","0","v1059497541","1.6.1","58.7","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497542","1.6.2","16.8","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497543","1.6.3","41.9","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497544","1.6.4","41.3","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Real estate as a share of total assets","Percent","239","units ","0","v1059497545","1.6.5","36.3","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497546","1.6.6","5.0","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Liabilities as a share of total assets","Percent","239","units ","0","v1059497547","1.6.7","11.9","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497548","1.6.8","6.9","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497549","1.6.9","4.9","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Liabilities as a share of net worth","Percent","239","units ","0","v1059497550","1.6.10","13.4","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Assets as a share of net worth","Percent","239","units ","0","v1059497551","1.6.11","113.4","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Financial assets as a share of net worth","Percent","239","units ","0","v1059497552","1.6.12","66.6","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497553","1.6.13","142.2","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497554","1.6.14","80.9","","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Real estate as a share of disposable income","Percent","239","units ","0","v1059497555","1.6.15","","..","","","1"
"2010","Canada","2016A000011124","Highest income quintile","Net worth as a share of disposable income","Percent","239","units ","0","v1059497556","1.6.16","","..","","","1"
