"REF_DATE","GEO","DGUID","Toronto Stock Exchange Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","525.63","","","","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","485.02","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","729.73","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","914.11","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","1013.23","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","229.40","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","363.67","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","259.38","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.36","","","t","2"
"1956-01","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","18.15","","","t","2"
"1956-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","545.15","","","","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","515.96","","","t","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","758.44","","","t","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","938.13","","","t","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","1059.36","","","t","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","236.23","","","t","2"
"1956-02","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","372.15","","","t","2"
